"file","soil_series"
"CA-2010-08-30-01.tif","Temo"
"CA-2010-08-30-01.tif","Toem"
"CA-2010-08-30-01.tif","Witefels"
"CA-2010-08-30-02.tif","Ellispeak"
"CA-2010-08-30-02.tif","Kneeridge"
"CA-2010-08-30-02.tif","Melody"
"CA-2010-08-30-02.tif","Sky"
"CA-2010-08-30-02.tif","Tahoe"
"CA-2010-08-30-02.tif","Waca"
"CA-2010-08-30-03.tif","Bidart"
"CA-2010-08-30-03.tif","Cagwin"
"CA-2010-08-30-03.tif","Cassenai"
"CA-2010-08-30-03.tif","Christopher"
"CA-2010-08-30-03.tif","Cryorthents"
"CA-2010-08-30-03.tif","Gefo"
"CA-2010-08-30-03.tif","Jabu"
"CA-2010-08-30-03.tif","Jobsis"
"CA-2010-08-30-03.tif","Marla"
"CA-2010-08-30-03.tif","Tahoe"
"CA-2010-08-30-03.tif","Temo"
"CA-2010-08-30-03.tif","Toem"
"CA-2010-08-30-03.tif","Whitell"
"CA-2010-08-30-03.tif","Witefels"
"CA-2010-08-30-04.tif","Amador"
"CA-2010-08-30-04.tif","Auburn"
"CA-2010-08-30-04.tif","Bellota"
"CA-2010-08-30-04.tif","Cogna"
"CA-2010-08-30-04.tif","Columbia"
"CA-2010-08-30-04.tif","Exeter"
"CA-2010-08-30-04.tif","Finrod"
"CA-2010-08-30-04.tif","Honcut"
"CA-2010-08-30-04.tif","Keyes"
"CA-2010-08-30-04.tif","Madera"
"CA-2010-08-30-04.tif","Mckeonhills"
"CA-2010-08-30-04.tif","Nord"
"CA-2010-08-30-04.tif","Pentz"
"CA-2010-08-30-04.tif","Peters"
"CA-2010-08-30-04.tif","Redding"
"CA-2010-08-30-04.tif","San Joaquin"
"CA-2010-08-30-04.tif","Veritas"
"CA-2010-08-30-05.tif","Altamont"
"CA-2010-08-30-05.tif","Arbuckle"
"CA-2010-08-30-05.tif","Ayar"
"CA-2010-08-30-05.tif","Corning"
"CA-2010-08-30-05.tif","Corval"
"CA-2010-08-30-05.tif","Sehorn"
"CA-2010-08-30-06.tif","Corbiere"
"CA-2010-08-30-06.tif","Moonbend"
"CA-2010-08-30-06.tif","Vina"
"CA-2010-08-30-06.tif","Willows"
"CA-2010-08-30-08.tif","Cajon"
"CA-2010-08-30-08.tif","Cryoborolls"
"CA-2010-08-30-08.tif","Haplargids"
"CA-2010-08-30-08.tif","Haplodurids"
"CA-2010-08-30-08.tif","Hessica"
"CA-2010-08-30-08.tif","Mazourka"
"CA-2010-08-30-08.tif","Seaman"
"CA-2010-08-30-08.tif","Taboose"
"CA-2010-08-30-08.tif","Torriorthents"
"CA-2010-08-30-08.tif","Yellowrock"
"CA-2010-08-30-08.tif","Yermo"
"CA-2010-08-30-09.tif","Blindspring"
"CA-2010-08-30-09.tif","Buscones"
"CA-2010-08-30-09.tif","Childago"
"CA-2010-08-30-09.tif","Haar Family"
"CA-2010-08-30-09.tif","Honova"
"CA-2010-08-30-09.tif","Sherwin"
"CA-2010-08-30-09.tif","Torriorthents"
"CA-2010-08-30-10.tif","Alamedawell"
"CA-2010-08-30-10.tif","Dechambeau"
"CA-2010-08-30-10.tif","Deepwell"
"CA-2010-08-30-10.tif","Orecart"
"CA-2010-08-30-10.tif","Pinoza"
"CA-2010-08-30-10.tif","Waford"
"CA-2010-08-30-10.tif","Warrior"
"CA-2010-08-30-11.tif","Aquents"
"CA-2010-08-30-11.tif","Brantel"
"CA-2010-08-30-11.tif","Deepwell"
"CA-2010-08-30-11.tif","Pizona"
"CA-2010-08-30-11.tif","Torriorthents"
"CA-2011-05-27-03.tif","Asabean"
"CA-2011-05-27-03.tif","Bluenose"
"CA-2011-05-27-03.tif","Holohan"
"CA-2011-05-27-03.tif","Kekawaka"
"CA-2011-05-27-03.tif","Neuns"
"CA-2011-05-27-03.tif","Pardaloe"
"CA-2011-05-27-03.tif","Updegraff"
"CA-2011-05-27-03.tif","Woodin"
"CA-2011-05-27-04.tif","Cole"
"CA-2011-05-27-04.tif","Feliz"
"CA-2011-05-27-04.tif","Hopland"
"CA-2011-05-27-04.tif","Pinnobie"
"CA-2011-05-27-04.tif","Pinole"
"CA-2011-05-27-04.tif","Redvine"
"CA-2011-05-27-04.tif","Riverwash"
"CA-2011-05-27-04.tif","Russian"
"CA-2011-05-27-04.tif","Squawrock"
"CA-2011-05-27-04.tif","Talmage"
"CA-2011-05-27-04.tif","Witherell"
"CA-2011-05-27-04.tif","Xerofluvents"
"CA-2011-05-27-04.tif","Yokayo"
"CA-2011-05-27-05.tif","Alros"
"CA-2011-05-27-05.tif","Apollo"
"CA-2011-05-27-05.tif","Arburua"
"CA-2011-05-27-05.tif","Banos"
"CA-2011-05-27-05.tif","Bapos"
"CA-2011-05-27-05.tif","Bolfar"
"CA-2011-05-27-05.tif","Britto"
"CA-2011-05-27-05.tif","Chateau"
"CA-2011-05-27-05.tif","Damluis"
"CA-2011-05-27-05.tif","Deldota"
"CA-2011-05-27-05.tif","Dosamigos"
"CA-2011-05-27-05.tif","Dospalos"
